,0,label found,nut_from_taxonomy,quantity,score_label,score_quant
0,,VALEURS,"Énergie, valeurs énergétique, valeur énergétique",Pour 1,100.0,1.0
1,,Protéines,"Protéines, Protéine brute","1,5 g",100.0,3.0
2,,Glucides,Glucides,"18,0 g",100.0,4.0
3,,dont sucres,"Sucres, sucre","10,2 g",71.0,4.0
4,,Matières grasses,"Matières grasses / Lipides, Matières grasses, Matière grasse, Lipides, Graisses, Graisse","4,5 g",100.0,3.0
5,,dont acides gras saturés,"Acides gras saturés, Saturés, AGS","0,6 g",90.0,3.0
6,,Fibres alimentaires,"Fibres alimentaires,fibres, fibre, fibre alimentaire","0,5 g",100.0,3.0
7,,Sel,"Sel, Sel alimentaire, sel de table, sel de cuisine, sel sec, sel comestible","0,18 g",100.0,4.0
8,,NUTRITIONNELLES,Note nutritionnelle,,82.0,0.0
9,https://static.openfoodfacts.org/images/products/000031/nutrition_fr.9.400.jpg,,,,,
